antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'lbxsch'}),frozenset({'lbxstr'}),0.525729118949458,0.6316994961062757,0.4160940601618568,0.7914609352309033,1.252907339818029,0.08399124063308788,1.7660983773065362,0.4256141117812816
"frozenset({'lbxsassi', 'lbxsch'})",frozenset({'lbxstr'}),0.34341120781798745,0.6316994961062757,0.2832493510459612,0.8248110271231659,1.3057015752065781,0.06631666411009102,2.1023041453222997,0.3565827117156649
frozenset({'lbxsassi'}),frozenset({'lbxstr'}),0.5700106886547565,0.6316994961062757,0.41884257138494424,0.7347977497990892,1.1632077504071152,0.05876710658654338,1.388753314177043,0.3263065799721606
frozenset({'lbxsatsi'}),frozenset({'lbxsassi'}),0.4170102305695526,0.5700106886547565,0.3663154680103833,0.8784328084950568,1.541081291945922,0.12861517930735383,3.5370506303730735,0.6022489290216306
frozenset({'lbxsatsi'}),frozenset({'lbxstr'}),0.4170102305695526,0.6316994961062757,0.3267674454115132,0.783595752471622,1.2404565102578324,0.06334229288956494,1.7019097734919808,0.33250184810758676
"frozenset({'lbxstr', 'lbxsatsi'})",frozenset({'lbxsassi'}),0.3267674454115132,0.5700106886547565,0.2892044586959841,0.8850467289719626,1.5526844436210507,0.10294352210701191,3.740557423897646,0.5287238855532852
"frozenset({'lbxsassi', 'lbxsatsi'})",frozenset({'lbxstr'}),0.3663154680103833,0.6316994961062757,0.2892044586959841,0.7894956231763234,1.2497961895532372,0.05780316213789041,1.7496097204773151,0.3154085825880077
"frozenset({'lbxsatsi', 'lbxsch'})",frozenset({'lbxsassi'}),0.26721636891128414,0.5700106886547565,0.23484501450603146,0.8788571428571429,1.5418257242355824,0.08252882804308692,3.54944007006687,0.47956620784943543
"frozenset({'lbxsatsi', 'lbxsch'})",frozenset({'lbxstr'}),0.26721636891128414,0.6316994961062757,0.22827912658421132,0.8542857142857143,1.3523609240650576,0.05947868099160444,2.52755247770203,0.3555652968392942
"frozenset({'lbxstr', 'lbxsassi', 'lbxsch'})",frozenset({'lbxsatsi'}),0.2832493510459612,0.4170102305695526,0.20232096503282945,0.7142857142857143,1.7128733587906053,0.08420308784447701,2.040464193006566,0.5806561567959098
"frozenset({'lbxstr', 'lbxsatsi', 'lbxsch'})",frozenset({'lbxsassi'}),0.22827912658421132,0.5700106886547565,0.20232096503282945,0.8862876254180603,1.5548614141073873,0.07219942288305684,3.7813765909478794,0.4624157215282497
"frozenset({'lbxsassi', 'lbxsatsi', 'lbxsch'})",frozenset({'lbxstr'}),0.23484501450603146,0.6316994961062757,0.20232096503282945,0.8615084525357608,1.3637947439344205,0.053969487706298364,2.659371713561259,0.34862457310897166
"frozenset({'lbxsatsi', 'lbxsch'})","frozenset({'lbxstr', 'lbxsassi'})",0.26721636891128414,0.41884257138494424,0.20232096503282945,0.7571428571428572,1.8077027238164682,0.09039937396187933,2.393001176650231,0.6097457410545436
