antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'lbxsassi'}),frozenset({'lbxsatsi'}),0.09253321117727897,0.11620094670942129,0.06474270881050542,0.6996699669966997,6.021207114141112,0.0539902620696428,2.942759485132367,0.9189541207509072
frozenset({'lbxsatsi'}),frozenset({'lbxsassi'}),0.11620094670942129,0.09253321117727897,0.06474270881050542,0.5571616294349541,6.021207114141112,0.0539902620696428,2.049205419270299,0.9435632929548448
frozenset({'lbxsatsi'}),frozenset({'lbxsossi'}),0.11620094670942129,0.9120476408612002,0.11620094670942129,1.0,1.096433952787544,0.01022014739725556,inf,0.0995162404975812
frozenset({'lbxsassi'}),frozenset({'lbxsossi'}),0.09253321117727897,0.9120476408612002,0.09253321117727897,1.0,1.096433952787544,0.008138514221730453,inf,0.09692074709742562
frozenset({'lbxsbu'}),frozenset({'lbxsossi'}),0.05741334554893877,0.9120476408612002,0.05741334554893877,1.0,1.096433952787544,0.0050496391870802765,inf,0.09330957395107727
frozenset({'lbxsck'}),frozenset({'lbxsossi'}),0.1896472743930371,0.9120476408612002,0.1896472743930371,1.0,1.096433952787544,0.016679925187110922,inf,0.10853589598643307
frozenset({'lbxsch'}),frozenset({'lbxsossi'}),0.08398228737211788,0.9120476408612002,0.08398228737211788,1.0,1.096433952787544,0.007386440300250402,inf,0.09601600266711115
frozenset({'lbxsgtsi'}),frozenset({'lbxsossi'}),0.10245839059398382,0.9120476408612002,0.10245839059398382,1.0,1.096433952787544,0.009011457166305498,inf,0.09799251446070095
frozenset({'lbxsgl'}),frozenset({'lbxsossi'}),0.24889296075736753,0.9120476408612002,0.24858757062146894,0.9987730061349694,1.0950886350540625,0.021585332935752627,71.68117269812878,0.11560523727630884
frozenset({'lbxsph'}),frozenset({'lbxsossi'}),0.1107039242632463,0.9120476408612002,0.1107039242632463,1.0,1.096433952787544,0.00973667130487553,inf,0.09890109890109887
frozenset({'lbxsua'}),frozenset({'lbxsossi'}),0.11131470453504352,0.9120476408612002,0.11131470453504352,1.0,1.096433952787544,0.00979039087069554,inf,0.09896907216494849
frozenset({'lbxsclsi'}),frozenset({'lbxsossi'}),0.15223698274545733,0.9120476408612002,0.15223698274545733,1.0,1.096433952787544,0.013389601780635724,inf,0.10374639769452441
frozenset({'lbxsgb'}),frozenset({'lbxsossi'}),0.06504809894640404,0.9120476408612002,0.06504809894640404,1.0,1.096433952787544,0.005721133759830313,inf,0.09407153356197942
frozenset({'lbxstr'}),frozenset({'lbxsossi'}),0.1656741487249962,0.9120476408612002,0.1656741487249962,1.0,1.096433952787544,0.014571432228675796,inf,0.10541727672035137
"frozenset({'lbxsassi', 'lbxsatsi'})",frozenset({'lbxsossi'}),0.06474270881050542,0.9120476408612002,0.06474270881050542,1.0,1.096433952787544,0.005694273976920315,inf,0.09404081632653066
"frozenset({'lbxsassi', 'lbxsossi'})",frozenset({'lbxsatsi'}),0.09253321117727897,0.11620094670942129,0.06474270881050542,0.6996699669966997,6.021207114141112,0.0539902620696428,2.942759485132367,0.9189541207509072
"frozenset({'lbxsatsi', 'lbxsossi'})",frozenset({'lbxsassi'}),0.11620094670942129,0.09253321117727897,0.06474270881050542,0.5571616294349541,6.021207114141112,0.0539902620696428,2.049205419270299,0.9435632929548448
frozenset({'lbxsassi'}),"frozenset({'lbxsatsi', 'lbxsossi'})",0.09253321117727897,0.11620094670942129,0.06474270881050542,0.6996699669966997,6.021207114141112,0.0539902620696428,2.942759485132367,0.9189541207509072
frozenset({'lbxsatsi'}),"frozenset({'lbxsassi', 'lbxsossi'})",0.11620094670942129,0.09253321117727897,0.06474270881050542,0.5571616294349541,6.021207114141112,0.0539902620696428,2.049205419270299,0.9435632929548448
"frozenset({'lbxstr', 'lbxsgl'})",frozenset({'lbxsossi'}),0.07512597343105817,0.9120476408612002,0.07512597343105817,1.0,1.096433952787544,0.00660750659586036,inf,0.09509658246656759
