antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'lbxsua'}),frozenset({'lbxsatsi'}),0.11223087494273935,0.5332111772789739,0.05878760116048252,0.5238095238095238,0.9823678612338406,-0.0010551557947848303,0.9802565277141548,-0.019817003080601532
frozenset({'lbxsksi'}),frozenset({'lbxsatsi'}),0.09864101389525118,0.5332111772789739,0.06016185677202626,0.6099071207430341,1.1438378389880097,0.007565365624947758,1.1966094423721543,0.13951178571336437
frozenset({'lbxsclsi'}),frozenset({'lbxsatsi'}),0.1603298213467705,0.5332111772789739,0.09833562375935258,0.6133333333333333,1.150263459335624,0.012845970966113507,1.2072124725543776,0.15557769396807314
frozenset({'lbxsatsi'}),frozenset({'lbxsossi'}),0.5332111772789739,0.9122003359291495,0.5332111772789739,1.0,1.0962504184800803,0.04681576224391659,inf,0.1880929015374549
frozenset({'lbxsossi'}),frozenset({'lbxsatsi'}),0.9122003359291495,0.5332111772789739,0.5332111772789739,0.5845329762303315,1.0962504184800803,0.04681576224391659,1.1235279721738156,0.9999999999999994
frozenset({'lbxsatsi'}),frozenset({'lbxstr'}),0.5332111772789739,0.7973736448312719,0.4718277599633532,0.8848797250859106,1.1097428800435905,0.04665922007164425,1.7601274434059657,0.21185247291748038
frozenset({'lbxstr'}),frozenset({'lbxsatsi'}),0.7973736448312719,0.5332111772789739,0.4718277599633532,0.5917273075450019,1.1097428800435902,0.04665922007164425,1.143326093925515,0.48804296134795583
frozenset({'lbxsbu'}),frozenset({'lbxsassi'}),0.10932966865170254,0.6625438998320354,0.08337150710032067,0.7625698324022347,1.1509725356999851,0.010935802064477432,1.4212856924721338,0.14727058186684464
frozenset({'lbxsck'}),frozenset({'lbxsassi'}),0.19010535959688502,0.6625438998320354,0.10337456100167965,0.5437751004016065,0.820738219066633,-0.022578585324612002,0.7396705012484436,-0.21240220302290524
frozenset({'lbxsch'}),frozenset({'lbxsassi'}),0.6097114063215758,0.6625438998320354,0.4499923652466025,0.7380415727523165,1.1139512007271077,0.046031792330230914,1.288204787734878,0.2620999154069307
frozenset({'lbxsassi'}),frozenset({'lbxsch'}),0.6625438998320354,0.6097114063215758,0.4499923652466025,0.6791887531689329,1.1139512007271077,0.046031792330230914,1.216567678139858,0.303134562796432
frozenset({'lbxscr'}),frozenset({'lbxsassi'}),0.28706672774469383,0.6625438998320354,0.22385096961368148,0.7797872340425532,1.1769593444905926,0.03365666030169087,1.532409343757907,0.21089348134352248
frozenset({'lbxsgtsi'}),frozenset({'lbxsassi'}),0.10306917086578103,0.6625438998320354,0.06581157428615056,0.6385185185185186,0.963737676371924,-0.0024762761317184134,0.9335363426777711,-0.040261571704765096
frozenset({'lbxsgl'}),frozenset({'lbxsassi'}),0.2803481447549244,0.6625438998320354,0.19407543136356695,0.6922657952069716,1.0448602656857473,0.008332478226963341,1.0965830086874033,0.05965971550641767
frozenset({'lbxsir'}),frozenset({'lbxsassi'}),0.11192548480684074,0.6625438998320354,0.08657810352725608,0.7735334242837654,1.1675202571178565,0.012422556332740586,1.490092297729627,0.16156731172778868
frozenset({'lbxsldsi'}),frozenset({'lbxsassi'}),0.1568178347839365,0.6625438998320354,0.13544052527103376,0.8636806231742941,1.3035824847127107,0.03154182545006866,2.475481534803569,0.27619561724405034
frozenset({'lbxsph'}),frozenset({'lbxsassi'}),0.13910520690181707,0.6625438998320354,0.09955718430294702,0.7156970362239298,1.0802258331944032,0.00739387803527497,1.1869594874633813,0.08626797345793344
frozenset({'lbxsua'}),frozenset({'lbxsassi'}),0.11223087494273935,0.6625438998320354,0.0728355474118186,0.6489795918367346,0.9795269294627276,-0.001522334154305402,0.9613574946645499,-0.023001722698401048
frozenset({'lbxsksi'}),frozenset({'lbxsassi'}),0.09864101389525118,0.6625438998320354,0.07207207207207207,0.7306501547987616,1.1027950826865844,0.006718070042526364,1.2528542569454317,0.10341409280543945
frozenset({'lbxsclsi'}),frozenset({'lbxsassi'}),0.1603298213467705,0.6625438998320354,0.11803328752481294,0.7361904761904761,1.1111572778454546,0.011807742430350085,1.2791657226583488,0.11913891435512075
frozenset({'lbxsassi'}),frozenset({'lbxsossi'}),0.6625438998320354,0.9122003359291495,0.6625438998320354,1.0,1.0962504184800803,0.058171131837443935,inf,0.2601809954751131
frozenset({'lbxsossi'}),frozenset({'lbxsassi'}),0.9122003359291495,0.6625438998320354,0.6625438998320354,0.7263140274522932,1.0962504184800803,0.058171131837443935,1.2330047354149358,1.0000000000000002
frozenset({'lbxsgb'}),frozenset({'lbxsassi'}),0.07527866849900748,0.6625438998320354,0.05466483432585127,0.7261663286004056,1.0960274915888584,0.00478941172435586,1.2323396843170853,0.09474651852726505
frozenset({'lbxsassi'}),frozenset({'lbxstr'}),0.6625438998320354,0.7973736448312719,0.5840586349060926,0.8815395252362296,1.1055538779724372,0.05576359063629732,1.7104975779710339,0.2829286960636443
frozenset({'lbxstr'}),frozenset({'lbxsassi'}),0.7973736448312719,0.6625438998320354,0.5840586349060926,0.7324779777862889,1.1055538779724374,0.05576359063629732,1.2614142842355844,0.4711924779959712
frozenset({'lbxsbu'}),frozenset({'lbxsch'}),0.10932966865170254,0.6097114063215758,0.07833256985799358,0.7164804469273743,1.1751140613391873,0.011673023831692123,1.3765843993780873,0.1673108137507607
frozenset({'lbxsbu'}),frozenset({'lbxscr'}),0.10932966865170254,0.28706672774469383,0.056649870209192245,0.5181564245810056,1.8050034173303224,0.025264959983936366,1.4795948490863746,0.5007289596371238
frozenset({'lbxsbu'}),frozenset({'lbxsossi'}),0.10932966865170254,0.9122003359291495,0.10932966865170254,1.0,1.0962504184800803,0.00959910818059688,inf,0.09857706154637409
frozenset({'lbxsbu'}),frozenset({'lbxstr'}),0.10932966865170254,0.7973736448312719,0.09421285692472132,0.861731843575419,1.0807127237792835,0.007036260543718018,1.4654592959677706,0.0838522562484006
frozenset({'lbxsck'}),frozenset({'lbxsch'}),0.19010535959688502,0.6097114063215758,0.13253931897999693,0.6971887550200803,1.1434733675498385,0.016629912830911295,1.288884082571984,0.1549232906562128
frozenset({'lbxsck'}),frozenset({'lbxsossi'}),0.19010535959688502,0.9122003359291495,0.19010535959688502,1.0,1.0962504184800803,0.016691186710674738,inf,0.10840874811463044
frozenset({'lbxsck'}),frozenset({'lbxstr'}),0.19010535959688502,0.7973736448312719,0.17071308596732326,0.897991967871486,1.1261871692053547,0.019128082483595432,1.986376473898163,0.13834902338532779
frozenset({'lbxscr'}),frozenset({'lbxsch'}),0.28706672774469383,0.6097114063215758,0.20277905023667736,0.7063829787234043,1.1585529996643062,0.02775119195532716,1.3292437610786911,0.19195952798127625
frozenset({'lbxsgtsi'}),frozenset({'lbxsch'}),0.10306917086578103,0.6097114063215758,0.06275767292716446,0.6088888888888889,0.9986509725352701,-8.477618980969048e-05,0.9978969724732437,-0.0015038153731620773
frozenset({'lbxsgl'}),frozenset({'lbxsch'}),0.2803481447549244,0.6097114063215758,0.18109635058787601,0.6459694989106753,1.0594676304447816,0.010164888989706328,1.1024151661439796,0.07799566982931563
frozenset({'lbxsir'}),frozenset({'lbxsch'}),0.11192548480684074,0.6097114063215758,0.07940143533363872,0.7094133697135061,1.1635232051724897,0.011159190588835688,1.3431058176820887,0.15825408686911435
frozenset({'lbxsldsi'}),frozenset({'lbxsch'}),0.1568178347839365,0.6097114063215758,0.10994044892349977,0.7010710808179162,1.149840848554103,0.01432682634108133,1.305623406214142,0.1545507364481468
frozenset({'lbxsph'}),frozenset({'lbxsch'}),0.13910520690181707,0.6097114063215758,0.1047488166132234,0.7530186608122942,1.235041124382598,0.019934785286462725,1.580235150404642,0.22106111486301297
frozenset({'lbxsua'}),frozenset({'lbxsch'}),0.11223087494273935,0.6097114063215758,0.07237746220797069,0.6448979591836734,1.0577101764823134,0.003949017613932168,1.0990885684047575,0.06145902731512323
frozenset({'lbxsksi'}),frozenset({'lbxsch'}),0.09864101389525118,0.6097114063215758,0.06611696442204917,0.6702786377708979,1.0993375403860781,0.005974413118989476,1.1836921667430145,0.10025003922145521
frozenset({'lbxsclsi'}),frozenset({'lbxsch'}),0.1603298213467705,0.6097114063215758,0.11482669109787753,0.7161904761904762,1.174638474473185,0.017071770249251078,1.3751779307461252,0.17706265742707558
frozenset({'lbxsch'}),frozenset({'lbxsossi'}),0.6097114063215758,0.9122003359291495,0.6097114063215758,1.0,1.0962504184800803,0.05353245665520023,inf,0.22496087636932724
frozenset({'lbxsossi'}),frozenset({'lbxsch'}),0.9122003359291495,0.6097114063215758,0.6097114063215758,0.6683963843321058,1.0962504184800803,0.05353245665520023,1.1769732754340767,1.0000000000000009
frozenset({'lbxsgb'}),frozenset({'lbxsch'}),0.07527866849900748,0.6097114063215758,0.050389372423270726,0.6693711967545639,1.097849228035472,0.004491109586725162,1.1804434152359702,0.09638375165125482
frozenset({'lbxsch'}),frozenset({'lbxstr'}),0.6097114063215758,0.7973736448312719,0.5431363566956787,0.890808915602304,1.1171787798313844,0.05696855034184317,1.8557042114420437,0.2687450256783885
frozenset({'lbxstr'}),frozenset({'lbxsch'}),0.7973736448312719,0.6097114063215758,0.5431363566956787,0.6811566449636155,1.1171787798313844,0.05696855034184317,1.2240762980112498,0.5176430185636479
frozenset({'lbxscr'}),frozenset({'lbxsossi'}),0.28706672774469383,0.9122003359291495,0.28706672774469383,1.0,1.0962504184800803,0.025204362261902424,inf,0.12315270935960593
frozenset({'lbxscr'}),frozenset({'lbxstr'}),0.28706672774469383,0.7973736448312719,0.2502672163689113,0.871808510638298,1.093350045226008,0.02136777335733836,1.5806537249676729,0.11975852046085401
frozenset({'lbxsgtsi'}),frozenset({'lbxsossi'}),0.10306917086578103,0.9122003359291495,0.10306917086578103,1.0,1.0962504184800803,0.009049438578076663,inf,0.09788900238338435
frozenset({'lbxsgtsi'}),frozenset({'lbxstr'}),0.10306917086578103,0.7973736448312719,0.08550923805161094,0.8296296296296297,1.0404527852249033,0.0033245976086259676,1.1893286064251436,0.0433478038815118
frozenset({'lbxsgl'}),frozenset({'lbxsossi'}),0.2803481447549244,0.9122003359291495,0.2800427546190258,0.9989106753812635,1.0950562459109299,0.024309082796469872,80.60009161703556,0.12062068280939885
frozenset({'lbxsgl'}),frozenset({'lbxstr'}),0.2803481447549244,0.7973736448312719,0.2363719651855245,0.8431372549019608,1.0573929303624936,0.012829743180605396,1.2917430142006414,0.07542226103948016
