antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'lbxsassi'}),frozenset({'lbxsatsi'}),0.5700106886547565,0.4170102305695526,0.3663154680103833,0.6426466648807929,1.541081291945922,0.12861517930735383,1.6314099020118888,0.8165434698169692
frozenset({'lbxsatsi'}),frozenset({'lbxsassi'}),0.4170102305695526,0.5700106886547565,0.3663154680103833,0.8784328084950568,1.541081291945922,0.12861517930735383,3.5370506303730735,0.6022489290216306
frozenset({'lbxsch'}),frozenset({'lbxsatsi'}),0.525729118949458,0.4170102305695526,0.26721636891128414,0.5082776648271855,1.2188613793311014,0.04798194780104292,1.185607664588913,0.3786067519087477
frozenset({'lbxsatsi'}),frozenset({'lbxsch'}),0.4170102305695526,0.525729118949458,0.26721636891128414,0.640790919077261,1.2188613793311014,0.04798194780104292,1.320319853362926,0.308002245004864
frozenset({'lbxscr'}),frozenset({'lbxsatsi'}),0.24217437776759812,0.4170102305695526,0.143075278668499,0.5907944514501892,1.416738506974474,0.04208608555759498,1.424686863353913,0.3881545206136939
frozenset({'lbxsldsi'}),frozenset({'lbxsatsi'}),0.15132081233776148,0.4170102305695526,0.09161704076958314,0.6054490413723512,1.4518805463008158,0.028514713926641233,1.4776032263569652,0.3667323377713807
frozenset({'lbxsatsi'}),frozenset({'lbxstr'}),0.4170102305695526,0.6316994961062757,0.3267674454115132,0.783595752471622,1.2404565102578324,0.06334229288956494,1.7019097734919808,0.33250184810758676
frozenset({'lbxstr'}),frozenset({'lbxsatsi'}),0.6316994961062757,0.4170102305695526,0.3267674454115132,0.5172830553541213,1.2404565102578324,0.06334229288956494,1.2077259269573162,0.5263234063328217
frozenset({'lbxsch'}),frozenset({'lbxsassi'}),0.525729118949458,0.5700106886547565,0.34341120781798745,0.6532094103979087,1.1459599326803922,0.04373999067974854,1.2399105518941986,0.2685577935904543
frozenset({'lbxsassi'}),frozenset({'lbxsch'}),0.5700106886547565,0.525729118949458,0.34341120781798745,0.6024645057594428,1.1459599326803922,0.04373999067974854,1.1930277621035534,0.29621466864060764
frozenset({'lbxscr'}),frozenset({'lbxsassi'}),0.24217437776759812,0.5700106886547565,0.1749885478699038,0.7225725094577553,1.2676472982691775,0.036946564024058076,1.5499160177126277,0.278609001550391
frozenset({'lbxsir'}),frozenset({'lbxsassi'}),0.07100320659642693,0.5700106886547565,0.05451213925790197,0.767741935483871,1.34689041936348,0.01403955256917671,1.8513428682920214,0.27723357587610986
frozenset({'lbxsldsi'}),frozenset({'lbxsassi'}),0.15132081233776148,0.5700106886547565,0.1281111620094671,0.8466195761856711,1.4852696502651914,0.0418566815610225,2.8034171548890554,0.3849765459574426
frozenset({'lbxsksi'}),frozenset({'lbxsassi'}),0.09573980760421438,0.5700106886547565,0.06031455183997557,0.6299840510366826,1.105214452247317,0.005741838175823438,1.1620831819546023,0.10527746784143227
frozenset({'lbxsassi'}),frozenset({'lbxstr'}),0.5700106886547565,0.6316994961062757,0.41884257138494424,0.7347977497990892,1.1632077504071152,0.05876710658654338,1.388753314177043,0.3263065799721606
frozenset({'lbxstr'}),frozenset({'lbxsassi'}),0.6316994961062757,0.5700106886547565,0.41884257138494424,0.6630408508581097,1.163207750407115,0.05876710658654338,1.2760873608574408,0.3809615792709802
frozenset({'lbxscr'}),frozenset({'lbxsch'}),0.24217437776759812,0.525729118949458,0.14750343563902885,0.6090794451450188,1.1585423427983526,0.020185313383136283,1.2132155118486443,0.18057768271961974
frozenset({'lbxsldsi'}),frozenset({'lbxsch'}),0.15132081233776148,0.525729118949458,0.0965032829439609,0.6377396569122099,1.213057511797288,0.016949525594913292,1.309199005908321,0.20695308621168707
frozenset({'lbxsksi'}),frozenset({'lbxsch'}),0.09573980760421438,0.525729118949458,0.05313788364635822,0.5550239234449761,1.0557222406741644,0.002804678946203981,1.0658345606404656,0.058369434836786256
